region,island,lon,lat,coral_cover
MHI,Hawaii,-155.885586,19.052735,NA
MHI,Hawaii,-155.70913447,20.19749522,0.7814606428146362
MHI,Hawaii,-155.867023,19.028805,0
MHI,Hawaii,-155.222333,19.982259,0.7058858871459961
MHI,Hawaii,-155.54811375,19.08267595,0.09333819895982742
MHI,Hawaii,-156.037925,19.795491,0.36960020661354065
MHI,Hawaii,-155.80384419,20.25749448,0.8183161616325378
MHI,Hawaii,-155.0468021,19.74418798,0.44908925890922546
MHI,Hawaii,-155.155435,19.932981,0.3341180384159088
MHI,Hawaii,-155.02553319,19.74557402,0.5490028262138367
MHI,Hawaii,-155.105778,19.876783,0.6412574052810669
MHI,Hawaii,-156.043964,19.690889,0.1260865479707718
MHI,Hawaii,-155.22681403,19.98493443,0.7094193994998932
MHI,Hawaii,-155.74176279,18.96924701,0.080016128718853
MHI,Hawaii,-155.89322051,20.12523802,0.6542101502418518
MHI,Hawaii,-155.90043196,19.24453033,NA
MHI,Hawaii,-154.85275852,19.44592735,0.3104524612426758
MHI,Hawaii,-154.81463327,19.49032243,0.33862313628196716
MHI,Hawaii,-155.923456,19.447963,0.2145552933216095
MHI,Hawaii,-155.08038042,19.8325335,0.6041426062583923
MHI,Hawaii,-155.140342,19.919755,0.6705626249313354
MHI,Hawaii,-155.84218847,20.27029943,0.6917664408683777
MHI,Hawaii,-155.54522862,19.08245567,0.09333819895982742
MHI,Hawaii,-155.085951,19.805951,0.58405303955078125
MHI,Hawaii,-155.893603,19.272309,0.11668861657381058
MHI,Hawaii,-155.38240068,20.06635465,0.7383486032485962
MHI,Hawaii,-155.07294442,19.75570179,0.540235718091329
MHI,Hawaii,-155.91635574,19.10705287,NA
MHI,Hawaii,-155.971391,19.568667,0.2098684012889862
MHI,Hawaii,-155.350877,20.051146,0.7373895049095154
MHI,Hawaii,-155.891729,19.357144,0.18340398371219635
MHI,Hawaii,-155.86487,19.027805,0
MHI,Hawaii,-155.890653,19.301808,0.1622343510389328
MHI,Hawaii,-155.084186,19.803587,0.533686637878418
MHI,Hawaii,-156.019991,19.805374,0.3792707026004791
MHI,Hawaii,-155.916972,19.109653,NA
MHI,Hawaii,-155.365833,20.059132,0.6272577047348022
MHI,Hawaii,-155.8746872,19.03261788,0
MHI,Hawaii,-156.051428,19.789252,0.2982363700866699
MHI,Hawaii,-155.903668,19.207305,NA
MHI,Hawaii,-155.841771,19.977417,0.44957321882247925
MHI,Hawaii,-155.420432,20.086498,0.6409514546394348
MHI,Hawaii,-155.884474,19.941129,0.41449782252311707
MHI,Hawaii,-155.984901,19.60538,0.10851732641458511
MHI,Hawaii,-155.92019339,19.12053332,0.10493044555187225
MHI,Hawaii,-156.05256,19.759449,0.3446098566055298
MHI,Hawaii,-155.972663,19.851872,0.34335190057754517
MHI,Hawaii,-155.7588726,20.24326519,0.6860269904136658
MHI,Hawaii,-155.87514916,19.94464499,0.41449782252311707
MHI,Hawaii,-156.05049902,19.71132016,0.2595195472240448
MHI,Hawaii,-155.90716515,19.90180078,0.38345828652381897
MHI,Hawaii,-155.85331109,20.06447786,0.60131072998046875
MHI,Hawaii,-155.95987035,19.8536553,0.1871972382068634
MHI,Hawaii,-155.89993257,19.91583627,0.4768058657646179
MHI,Hawaii,-155.8631227,19.95513292,0.4317539930343628
MHI,Hawaii,-155.90631074,19.90397617,0.38345828652381897
MHI,Hawaii,-155.87735935,19.94376394,0.41449782252311707
MHI,Hawaii,-155.89201023,19.06182414,NA
MHI,Hawaii,-155.03100982,19.7430278,0.4533139765262604
MHI,Hawaii,-155.86201153,19.95687702,0.4317539930343628
MHI,Hawaii,-155.76507557,20.2459091,0.6929306983947754
MHI,Hawaii,-155.9090774,19.893384,0.37736138701438904
MHI,Hawaii,-156.04977247,19.70675964,0.2595195472240448
MHI,Hawaii,-155.91804511,19.12780039,0.1076364815235138
MHI,Hawaii,-156.0506779,19.70508021,0.2595195472240448
MHI,Hawaii,-155.90157044,19.90777284,0.39151450991630554
MHI,Hawaii,-155.91016586,19.88947569,0.37736138701438904
MHI,Hawaii,-155.88895865,20.11835534,0.6448028087615967
MHI,Hawaii,-156.05142786,19.71393811,0.2595195472240448
MHI,Hawaii,-155.98647871,19.61528457,0.2806568741798401
MHI,Hawaii,-155.03189317,19.7428092,0.4533139765262604
MHI,Hawaii,-156.05246508,19.71649495,0.2595195472240448
MHI,Hawaii,-155.9529648,19.50415295,0.231533020734787
MHI,Hawaii,-155.4342482,20.09077615,0.6381402015686035
MHI,Hawaii,-155.91042273,19.89550919,0.38345828652381897
MHI,Hawaii,-155.72955401,20.22094835,0.7969661951065063
MHI,Hawaii,-155.72853333,18.96636297,0.08146584779024124
MHI,Hawaii,-155.95126442,19.49975938,0.231533020734787
MHI,Hawaii,-155.89326094,19.27352591,0.11668861657381058
MHI,Hawaii,-155.92910724,19.46237793,0.07456689327955246
MHI,Hawaii,-155.89285592,19.27955446,NA
MHI,Hawaii,-155.87192875,19.94792085,0.4230566620826721
MHI,Hawaii,-155.9676598,19.55528622,0.2059037685394287
