region,island,lon,lat,year,month,day,date,date_r,coral_cover
NWHI,French_Frigate,-166.2435,23.78558,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.39655399322509766
NWHI,French_Frigate,-166.055494,23.748319,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.019152702763676643
NWHI,French_Frigate,-166.25468371,23.8026257,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.40466243028640747
NWHI,French_Frigate,-166.10445427,23.63130011,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.07998744398355484
NWHI,French_Frigate,-166.18116394,23.65739222,2012,8,4,2012-08-04T10:00:00Z,2012-08-04,0.2879038155078888
NWHI,French_Frigate,-166.064935,23.782244,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.005438635591417551
NWHI,French_Frigate,-166.109599,23.829417,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.05167105048894882
NWHI,French_Frigate,-166.206675,23.871681,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.1770574450492859
NWHI,French_Frigate,-166.30661479,23.87416667,2017,9,27,2017-09-27T10:00:00Z,2017-09-27,0.43600502610206604
NWHI,French_Frigate,-166.299507,23.875131,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.40568357706069946
NWHI,French_Frigate,-166.056714,23.710357,2015,7,30,2015-07-30T10:00:00Z,2015-07-30,0.023778658360242844
NWHI,French_Frigate,-166.21222,23.723614,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.35711240768432617
NWHI,French_Frigate,-166.25196998,23.88334,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.17032001912593842
NWHI,French_Frigate,-166.2491037,23.83248431,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.3429265320301056
NWHI,French_Frigate,-166.25148693,23.77439311,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.4215884208679199
NWHI,French_Frigate,-166.3323382,23.86122895,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.5191344022750854
NWHI,French_Frigate,-166.0548716,23.71545349,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.022967271506786346
NWHI,French_Frigate,-166.206528,23.706773,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.36097440123558044
NWHI,French_Frigate,-166.3233506,23.87038627,2017,9,27,2017-09-27T10:00:00Z,2017-09-27,0.46744927763938904
NWHI,French_Frigate,-166.10898133,23.82940639,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.05167105048894882
NWHI,French_Frigate,-166.073888,23.873888,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,NA
NWHI,French_Frigate,-166.194727,23.635948,2016,9,1,2016-09-01T10:00:00Z,2016-09-01,0.3176659047603607
NWHI,French_Frigate,-166.214221,23.745109,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.3339935541152954
NWHI,French_Frigate,-166.2614605,23.80198717,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.3940671384334564
NWHI,French_Frigate,-166.18819,23.863206,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.15131793916225433
NWHI,French_Frigate,-166.22145591,23.66210863,2017,9,26,2017-09-26T10:00:00Z,2017-09-26,0.4332842528820038
